Nombre variable;Descripción;Tipo
Default;Cliente con más de 90 dias sin pagar su prestamo;Y/N
Prct_uso_tc;Porcentaje del uso de tarjeta de credito el último mes;percentage
Edad;Edad;integer
Nro_prestao_retrasados;Numero de prestamos con retraso en el pago de más de 3 meses en los últimos 3 años;integer
Prct_deuda_vs_ingresos;Ratio de deuda financiera vs ingresos del clientes;percentage
Mto_ingreso_mensual;Monto de ingreso mensual;real
Nro_prod_financieros_deuda;Nro de prestamos (incluido creditos vehiculares o hipotecario) y nro de tarjetas de credito ultimo año;integer
Nro_retraso_60dias;Nro de veces que el cliente se ha retrasado más de 60 dias los últimons 3 años;integer
Nro_creditos_hipotecarios;Nro de creditos hipotecarios;integer
Nro_retraso_ultm3anios;Nro de retrasos en pagos de más de 30 dias en los úlitmos 3 años;integer
Nro_dependiente;Nro de dependientes;integer
